Timestamp,grade,gpa_change,hrs_sleep_dist,hrs_sleep_irl,learn_faster,school_pref,hrs_hw_dist,hrs_hw_irl,num_classes_dist,num_classes_irl,physical_health,mental_health
11/18/2021 21:33:21,Senior,Lower,9,6,In-person,In-person,1,2,7,6,Better in quarantine,Better now
11/18/2021 21:33:23,Senior,Lower,8,6,In-person,In-person,2,4,7,7,Better in quarantine,The same
11/18/2021 21:33:32,Senior,Lower,7,6,In-person,In-person,1,4,7,6,Better now,Better now
11/18/2021 21:33:34,Senior,Higher,8,6,In-person,In-person,1,3,6,6,Better now,The same
11/18/2021 21:33:48,Senior,Same,7,6,In-person,In-person,4,5,6,6,The same,Better now
11/18/2021 21:34:07,Senior,Same,6,7,In-person,In-person,4,2,6,6,Better now,The same
11/18/2021 21:36:52,Senior,Higher,9,8,In-person,In-person,2,1,7,6,The same,The same
11/18/2021 21:41:56,Junior,Lower,7,6,In-person,In-person,4,5,6,6,The same,Better now
11/18/2021 21:42:13,Senior,Same,8,8,In-person,In-person,3,4,6,6,Better now,Better now
11/18/2021 21:44:45,Senior,Same,8,7,In-person,In-person,4,6,7,6,Better now,Better in quarantine
11/18/2021 21:53:49,Senior,Higher,8,6,In-person,In-person,3,4,7,6,Better in quarantine,Better in quarantine
11/18/2021 21:54:01,Freshman,Higher,9,7,In-person,In-person,1,3,5,7,Better now,The same
11/18/2021 21:54:50,Freshman,Same,9,7,In-person,In-person,1,1,7,7,The same,Better now
11/18/2021 21:55:19,Senior,Higher,8,6,Online,Online,3,3,7,6,Better now,Better in quarantine
11/18/2021 21:55:42,Freshman,Same,8,7,In-person,In-person,3,5,7,7,Better now,Better now
11/18/2021 21:56:09,Junior,Same,9,8,In-person,In-person,3,3,7,7,The same,The same
11/18/2021 21:56:53,Senior,Same,9,8,In-person,In-person,4,4,6,6,Better now,Better now
11/18/2021 21:57:01,Senior,Higher,9,8,Online,In-person,2,2,7,6,The same,Better in quarantine
11/18/2021 21:58:16,Senior,Higher,6,6,In-person,In-person,5,6,6,6,Better in quarantine,The same
11/18/2021 22:01:01,Sophomore,Higher,8,7,In-person,In-person,2,3,7,7,The same,Better now
11/18/2021 22:02:56,Senior,Higher,8,6,In-person,In-person,3,4,7,6,Better in quarantine,Better now
11/18/2021 22:08:44,Sophomore,Lower,5,7,In-person,In-person,6,4,7,6,The same,Better now
11/18/2021 22:10:18,Sophomore,Higher,8,7,In-person,In-person,1,2,7,6,The same,Better in quarantine
11/18/2021 22:12:44,Sophomore,Lower,8,6,In-person,In-person,2,5,7,7,Better now,Better now
11/18/2021 22:13:48,Freshman,Same,9,9,In-person,In-person,1,3,5,6,Better now,Better now
11/18/2021 22:19:28,Sophomore,Same,8,6,In-person,In-person,1,3,7,7,Better now,Better in quarantine
11/18/2021 22:19:30,Junior,Lower,6,8,In-person,In-person,3,3,6,6,Better now,Better now
11/18/2021 22:26:00,Senior,Higher,7,7,In-person,In-person,3,4,6,6,Better in quarantine,The same
11/18/2021 22:26:41,Freshman,Higher,9,8,In-person,In-person,1,1,5,6,Better now,Better now
11/18/2021 22:29:39,Freshman,Same,8,8,In-person,In-person,1,3,7,7,Better now,The same
11/18/2021 22:30:35,Freshman,Same,10,8,In-person,In-person,2,3,7,7,Better now,Better now
11/18/2021 22:37:50,Senior,Same,10,8,In-person,In-person,2,4,7,7,Better in quarantine,Better now
11/18/2021 22:40:37,Freshman,Lower,9,8,In-person,In-person,1,2,7,6,Better now,Better now
11/18/2021 22:43:58,Freshman,Same,8,8,In-person,In-person,2,3,7,7,Better now,Better now
11/18/2021 22:52:05,Sophomore,Same,9,8,In-person,In-person,1,3,7,6,Better now,Better in quarantine
11/18/2021 22:58:55,Sophomore,Higher,8,5,In-person,In-person,2,3,7,6,Better now,The same
11/18/2021 23:03:13,Senior,Higher,9,8,In-person,In-person,1,2,6,6,Better now,Better in quarantine
11/18/2021 23:12:41,Senior,Same,7,7,In-person,In-person,4,2,6,6,The same,The same
11/18/2021 23:15:37,Freshman,Same,8,6,In-person,Online,1,3,7,7,Better in quarantine,The same
11/18/2021 23:16:38,Senior,Higher,8,7,In-person,In-person,4,5,7,7,Better in quarantine,The same
11/18/2021 23:17:34,Junior,Same,9,7,In-person,In-person,1,2,6,6,Better now,Better now
